epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,1889.22,0.86273,0.48444,1.10749,0.98015,0.97788,0.99302,0.82149,0.74547,0.3516,1.04725,0.000373,0.000373,0.000373
97,1905.96,0.86475,0.48052,1.11539,0.98053,0.97893,0.99255,0.82276,0.73926,0.35228,1.04392,0.0003664,0.0003664,0.0003664
98,1922.33,0.85877,0.48336,1.11053,0.97611,0.98327,0.99302,0.82679,0.73791,0.34511,1.04218,0.0003598,0.0003598,0.0003598
99,1939.02,0.8523,0.48571,1.1075,0.97483,0.98391,0.99292,0.82172,0.74464,0.34979,1.04456,0.0003532,0.0003532,0.0003532
100,1955.68,0.86707,0.48507,1.10567,0.98075,0.98368,0.9935,0.82489,0.73608,0.34471,1.03686,0.0003466,0.0003466,0.0003466
101,1972.46,0.85032,0.47769,1.11333,0.97914,0.98454,0.99327,0.83428,0.70341,0.33436,1.02419,0.00034,0.00034,0.00034
102,1989.24,0.83767,0.47047,1.09873,0.97914,0.98881,0.99356,0.83819,0.70565,0.33318,1.0252,0.0003334,0.0003334,0.0003334
103,2006.48,0.83253,0.46325,1.0955,0.98348,0.98371,0.99367,0.83229,0.71684,0.33727,1.03359,0.0003268,0.0003268,0.0003268
104,2023.26,0.84278,0.46281,1.10605,0.97948,0.98044,0.99298,0.83351,0.71755,0.3426,1.03171,0.0003202,0.0003202,0.0003202
105,2040.06,0.83809,0.46063,1.09464,0.98132,0.98752,0.99372,0.84014,0.69166,0.32701,1.01572,0.0003136,0.0003136,0.0003136
106,2056.56,0.83434,0.46239,1.09498,0.97806,0.98783,0.9938,0.83949,0.69457,0.3278,1.0167,0.000307,0.000307,0.000307
107,2073.76,0.82582,0.45941,1.09168,0.97927,0.98119,0.99312,0.83291,0.70216,0.33792,1.02222,0.0003004,0.0003004,0.0003004
108,2091.43,0.82816,0.45416,1.08518,0.9847,0.98325,0.99375,0.83898,0.685,0.32359,1.01304,0.0002938,0.0002938,0.0002938
109,2111.53,0.81237,0.45147,1.08312,0.98164,0.98574,0.99349,0.83848,0.70038,0.33055,1.019,0.0002872,0.0002872,0.0002872
110,2128.75,0.80976,0.45026,1.0847,0.98295,0.98514,0.99358,0.8508,0.66934,0.31555,1.00306,0.0002806,0.0002806,0.0002806
111,2145.86,0.81543,0.44508,1.08804,0.98141,0.98802,0.99382,0.84762,0.67484,0.32,1.00703,0.000274,0.000274,0.000274
112,2162.2,0.79463,0.44743,1.07924,0.97717,0.99207,0.99412,0.85055,0.66365,0.31156,1.00085,0.0002674,0.0002674,0.0002674
113,2178.58,0.80765,0.44637,1.08383,0.98232,0.98731,0.99364,0.84535,0.67822,0.31808,1.00555,0.0002608,0.0002608,0.0002608
114,2195.04,0.7966,0.44448,1.079,0.98628,0.98584,0.99412,0.84887,0.67596,0.31415,1.00509,0.0002542,0.0002542,0.0002542
115,2213.53,0.7959,0.44136,1.07524,0.98757,0.98484,0.99416,0.85007,0.66058,0.31262,0.99541,0.0002476,0.0002476,0.0002476
116,2229.56,0.78406,0.44009,1.07337,0.9837,0.98828,0.99414,0.85231,0.65274,0.30982,0.99166,0.000241,0.000241,0.000241
117,2246.26,0.78509,0.43604,1.07139,0.98606,0.98322,0.99384,0.85523,0.64544,0.31018,0.99061,0.0002344,0.0002344,0.0002344
118,2263.21,0.77992,0.43017,1.06568,0.98424,0.9876,0.99409,0.86155,0.63726,0.30376,0.98427,0.0002278,0.0002278,0.0002278
119,2280.04,0.7664,0.41863,1.06777,0.98395,0.98695,0.99416,0.85732,0.64032,0.30447,0.98499,0.0002212,0.0002212,0.0002212
120,2296.21,0.76019,0.42208,1.06225,0.98236,0.98913,0.99416,0.85567,0.65602,0.30554,0.98995,0.0002146,0.0002146,0.0002146
121,2312.85,0.76234,0.42489,1.05973,0.98622,0.98822,0.99431,0.85716,0.64286,0.30448,0.98822,0.000208,0.000208,0.000208
122,2329.82,0.765,0.42063,1.06219,0.98711,0.98667,0.99438,0.86661,0.62059,0.29694,0.97861,0.0002014,0.0002014,0.0002014
123,2346.53,0.77247,0.42692,1.05775,0.98569,0.98882,0.99428,0.86364,0.62834,0.2983,0.98081,0.0001948,0.0001948,0.0001948
124,2362.89,0.75581,0.41672,1.05768,0.98257,0.98802,0.99403,0.86314,0.62544,0.29761,0.97722,0.0001882,0.0001882,0.0001882
125,2379.18,0.74368,0.4122,1.05476,0.98119,0.98977,0.99394,0.86432,0.62801,0.29944,0.98235,0.0001816,0.0001816,0.0001816
126,2395.29,0.75465,0.42047,1.05091,0.98503,0.98633,0.99413,0.86644,0.61773,0.29429,0.9758,0.000175,0.000175,0.000175
127,2411.5,0.74472,0.41444,1.05103,0.98016,0.99164,0.99407,0.86495,0.62187,0.29624,0.97573,0.0001684,0.0001684,0.0001684
128,2428.07,0.73561,0.41173,1.04778,0.97758,0.99228,0.99408,0.86842,0.61399,0.29402,0.97264,0.0001618,0.0001618,0.0001618
129,2444.71,0.73765,0.40611,1.0432,0.97911,0.99022,0.994,0.86542,0.61891,0.29593,0.9725,0.0001552,0.0001552,0.0001552
